Age,Monthly Income (INR),Risk Appetite,Time Horizon (Years),Investment Goal,Recommended SIP Funds
43,111517,Low,15,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
54,42181,Moderate,3,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
59,135492,Moderate,16,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
59,100862,Moderate,15,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
52,27256,High,8,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
29,41326,High,7,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
42,74677,Low,4,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
29,109697,High,2,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
34,121903,High,1,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
52,73067,Low,8,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
51,101857,Low,5,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
58,87878,High,8,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,114964,Low,6,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
28,54187,High,17,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
36,138498,Moderate,6,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
54,144631,Low,17,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,92148,Moderate,16,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
35,115728,Low,20,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
57,67872,Low,15,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
57,28113,High,18,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
55,62261,Low,17,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
59,129888,Low,1,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,33663,Low,4,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,57740,Moderate,2,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
20,92556,Low,12,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
28,50468,Low,16,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,75880,Moderate,14,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
43,74631,High,16,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,95682,Low,9,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
26,82681,High,2,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
52,110624,High,19,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
34,120103,Moderate,4,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
53,94516,Moderate,19,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
21,122691,Low,13,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
46,96780,Moderate,9,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
34,48721,Moderate,15,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
59,39188,High,10,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
59,41493,Low,16,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
55,98183,Low,14,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
48,145844,Moderate,18,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
46,74725,Low,3,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,30123,Low,12,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
41,145545,Low,4,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
60,90015,Moderate,6,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,135377,High,3,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
44,126704,High,10,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
20,83343,High,10,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
56,120659,Moderate,12,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
38,56240,High,1,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
36,66205,Low,2,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
52,133958,Low,15,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
28,59730,Low,9,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,74526,Moderate,18,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
31,126788,High,16,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
56,69675,Moderate,15,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,34056,Low,12,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
34,26886,Low,7,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
32,81716,Low,4,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
32,42909,Moderate,5,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
49,96075,Low,12,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,101670,High,10,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,99014,Low,3,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
33,99421,Low,2,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
50,111997,Low,19,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
32,105937,Low,11,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
39,100201,High,8,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
22,71477,Moderate,16,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
28,123907,High,16,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
31,45032,Moderate,19,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
23,34785,High,4,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
33,88954,High,13,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,104003,High,10,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
35,20210,High,17,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
34,107763,Low,6,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
54,59847,Low,2,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,31780,Low,13,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
33,130423,Low,14,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
54,79958,Low,18,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
59,93339,Moderate,11,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
32,110473,Low,14,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,120392,Low,10,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
55,27946,Low,17,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
43,85494,High,2,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
40,111285,Moderate,3,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
30,120484,High,20,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
39,52089,Low,10,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
57,149856,High,14,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
56,40163,Moderate,10,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
41,65899,Low,11,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,33745,Low,1,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
43,58846,Low,13,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
55,135513,High,2,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
53,82027,High,6,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
56,97667,Moderate,8,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
52,139663,Low,2,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
52,147219,Moderate,1,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
39,58839,Low,10,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
44,62220,Moderate,2,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
49,81224,High,3,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
25,81012,Low,8,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
32,147463,Moderate,10,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,51777,Moderate,1,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
30,25149,Moderate,12,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
25,82407,Moderate,12,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
37,103320,Moderate,12,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
59,67220,High,15,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
22,69570,High,14,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
33,110241,Low,10,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
48,82506,Low,8,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,117672,Moderate,19,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
23,48497,High,5,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
43,108452,Moderate,5,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
28,79456,Moderate,15,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
53,58759,High,2,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
37,129202,High,15,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,50444,Moderate,18,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
57,59475,Moderate,16,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
54,81299,Low,8,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
52,139483,Moderate,16,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
31,103987,Low,18,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
28,99299,High,10,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
33,94323,Moderate,16,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
42,70737,Moderate,4,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
24,32820,Low,20,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
51,78584,Low,20,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
34,144522,Moderate,4,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
45,105250,Moderate,6,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
22,36310,High,5,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
44,79896,High,2,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
21,137711,High,17,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
52,131507,Low,4,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
46,75114,Low,9,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
41,44862,High,2,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
43,99109,Moderate,8,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
44,85072,Moderate,19,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
38,67024,Low,3,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
39,112731,High,7,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
22,131722,Low,15,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
21,47681,High,9,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
38,63292,High,16,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
50,20592,High,14,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
29,39017,High,3,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
29,90229,Low,12,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
60,95210,Moderate,15,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
23,84062,High,1,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
37,75639,Moderate,13,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
47,92419,Moderate,3,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
41,107096,Moderate,18,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
41,91551,Moderate,17,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
24,108527,Moderate,2,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
41,145758,High,5,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
54,134848,Moderate,13,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
50,108777,High,17,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
38,53668,Moderate,20,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
29,80993,Moderate,5,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
52,49143,High,9,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
58,129806,Low,20,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
29,119525,Low,16,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
31,30734,Moderate,8,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
29,97594,Low,6,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
32,20561,Low,8,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
29,102140,Moderate,8,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
40,83096,Moderate,3,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
49,129556,Moderate,4,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
30,127888,Low,15,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
33,82209,Low,18,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,31962,Moderate,13,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
53,50775,Moderate,2,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
33,137147,Low,19,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
52,25956,Low,12,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
44,84581,Low,14,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
44,115552,Moderate,18,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
60,95831,Moderate,16,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
48,123477,Low,17,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
59,54903,High,17,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
36,36385,Moderate,14,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
52,76619,Moderate,20,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
36,94974,Low,16,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
24,89189,High,1,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
46,105123,Low,3,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
60,100820,High,2,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
58,149656,Moderate,6,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
45,114482,High,6,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
54,139590,Low,9,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
26,141146,Moderate,8,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
47,131252,Moderate,1,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
33,87809,High,15,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
39,56515,Moderate,5,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
40,70163,Moderate,10,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
50,30423,Low,11,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
53,20474,Low,5,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
31,125435,Moderate,11,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
58,140191,High,8,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
47,42124,Moderate,20,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
25,61001,High,15,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
27,93661,Low,9,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
26,127951,Low,5,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
41,83895,High,4,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
60,73477,Low,16,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
54,31621,High,14,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
52,103824,Moderate,4,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
30,110280,Moderate,3,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
60,51212,High,15,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
37,110085,Low,19,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
25,144416,Moderate,17,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,145032,Low,12,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
25,119377,Low,7,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,32862,Low,18,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
55,109323,Moderate,2,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
57,91288,Moderate,1,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
